,31,40,73,102,127,151,156,162,174,198,237,336,406,465,474,554,601,605,620,626,643,663,691,701,703,743,794,831,908,924,942,948,1042,1043,1060,1088,1101,1119,1125,1151,1181,1206,1216,1227,1239,1279,1302,1306,1328,1336,1346,1363,1372,1408,1417,1420,1457,1500,1535,1560,1568,1574,1584,1640,1728,1750,1785,1817,1833,1843,1877,2038,2067,2144,2147
31,1.000,0.763,0.363,0.185,0.575,0.115,0.207,0.498,0.561,0.131,0.902,0.250,0.624,0.214,0.659,0.171,0.304,0.339,0.414,0.343,0.147,0.413,0.781,0.546,0.409,0.579,0.626,0.584,0.624,0.243,0.178,0.750,0.402,0.441,0.359,0.295,0.666,0.390,0.272,0.679,0.480,0.639,0.666,0.622,0.222,0.410,0.145,0.419,0.571,0.354,0.298,0.444,0.623,0.590,0.260,0.727,0.000,0.487,0.247,0.311,0.387,0.332,0.464,0.795,0.331,0.541,0.585,0.303,0.476,0.426,0.472,0.353,0.284,0.000,0.000
40,0.763,1.000,0.447,0.187,0.639,0.149,0.208,0.604,0.631,0.243,0.704,0.295,0.461,0.290,0.637,0.210,0.249,0.257,0.339,0.415,0.221,0.486,0.655,0.630,0.326,0.435,0.601,0.453,0.476,0.296,0.135,0.581,0.315,0.339,0.300,0.222,0.446,0.475,0.336,0.644,0.444,0.713,0.569,0.645,0.163,0.465,0.192,0.465,0.509,0.395,0.212,0.499,0.398,0.586,0.330,0.541,0.000,0.549,0.236,0.119,0.491,0.264,0.339,0.617,0.381,0.423,0.692,0.342,0.380,0.503,0.552,0.446,0.370,0.000,0.000
73,0.363,0.447,1.000,0.556,0.289,0.402,0.564,0.533,0.477,0.611,0.356,0.609,0.174,0.680,0.418,0.620,0.166,0.150,0.161,0.695,0.544,0.735,0.161,0.290,0.157,0.281,0.394,0.247,0.291,0.688,0.068,0.333,0.148,0.177,0.170,0.091,0.160,0.485,0.643,0.389,0.280,0.506,0.269,0.163,0.121,0.420,0.541,0.451,0.358,0.518,0.131,0.411,0.209,0.273,0.687,0.174,0.000,0.446,0.445,0.058,0.420,0.126,0.305,0.310,0.514,0.168,0.256,0.661,0.196,0.658,0.461,0.570,0.613,0.000,0.000
102,0.185,0.187,0.556,1.000,0.166,0.442,0.808,0.286,0.304,0.435,0.176,0.312,0.092,0.494,0.207,0.718,0.073,0.077,0.083,0.319,0.655,0.341,0.019,0.152,0.084,0.114,0.233,0.129,0.103,0.506,0.027,0.191,0.040,0.084,0.088,0.037,0.117,0.184,0.423,0.232,0.141,0.304,0.148,0.068,0.053,0.217,0.684,0.287,0.206,0.328,0.071,0.300,0.158,0.087,0.400,0.079,0.000,0.253,0.170,0.029,0.253,0.058,0.173,0.149,0.212,0.086,0.116,0.328,0.100,0.393,0.253,0.187,0.346,0.000,0.000
127,0.575,0.639,0.289,0.166,1.000,0.241,0.107,0.554,0.568,0.297,0.548,0.094,0.315,0.208,0.472,0.230,0.193,0.190,0.260,0.250,0.265,0.298,0.478,0.526,0.255,0.356,0.401,0.321,0.332,0.130,0.103,0.456,0.225,0.238,0.213,0.186,0.289,0.481,0.203,0.434,0.322,0.476,0.413,0.525,0.131,0.431,0.267,0.486,0.374,0.305,0.170,0.386,0.272,0.426,0.183,0.417,0.000,0.486,0.171,0.092,0.357,0.200,0.241,0.469,0.313,0.299,0.641,0.330,0.287,0.353,0.507,0.268,0.144,0.000,0.000
151,0.115,0.149,0.402,0.442,0.241,1.000,0.371,0.297,0.202,0.613,0.122,0.112,0.102,0.538,0.221,0.500,0.062,0.044,0.070,0.235,0.593,0.158,0.013,0.112,0.060,0.070,0.116,0.093,0.104,0.183,0.026,0.185,0.018,0.074,0.057,0.016,0.066,0.288,0.171,0.189,0.199,0.170,0.125,0.058,0.042,0.177,0.638,0.044,0.113,0.207,0.030,0.145,0.056,0.086,0.338,0.074,0.000,0.081,0.288,0.025,0.134,0.041,0.133,0.117,0.280,0.034,0.088,0.459,0.099,0.258,0.226,0.242,0.099,0.000,0.000
156,0.207,0.208,0.564,0.808,0.107,0.371,1.000,0.274,0.308,0.254,0.207,0.249,0.106,0.534,0.211,0.524,0.076,0.090,0.090,0.326,0.528,0.449,0.017,0.202,0.081,0.136,0.235,0.121,0.123,0.636,0.037,0.179,0.078,0.072,0.097,0.047,0.102,0.220,0.376,0.275,0.166,0.327,0.148,0.130,0.063,0.152,0.465,0.253,0.217,0.404,0.068,0.311,0.192,0.134,0.512,0.050,0.000,0.325,0.167,0.033,0.296,0.062,0.183,0.166,0.195,0.054,0.090,0.270,0.124,0.473,0.184,0.158,0.408,0.000,0.000
162,0.498,0.604,0.533,0.286,0.554,0.297,0.274,1.000,0.653,0.351,0.419,0.441,0.232,0.373,0.423,0.278,0.224,0.186,0.218,0.396,0.382,0.540,0.396,0.397,0.204,0.304,0.411,0.324,0.345,0.288,0.094,0.454,0.200,0.244,0.190,0.134,0.228,0.518,0.379,0.410,0.350,0.481,0.345,0.293,0.149,0.545,0.329,0.581,0.387,0.447,0.172,0.408,0.254,0.376,0.420,0.328,0.000,0.522,0.350,0.080,0.609,0.168,0.276,0.410,0.505,0.212,0.479,0.386,0.265,0.590,0.565,0.545,0.388,0.000,0.000
174,0.561,0.631,0.477,0.304,0.568,0.202,0.308,0.653,1.000,0.180,0.493,0.269,0.320,0.295,0.464,0.230,0.209,0.204,0.249,0.435,0.264,0.484,0.487,0.421,0.236,0.384,0.494,0.307,0.378,0.337,0.099,0.407,0.257,0.243,0.221,0.148,0.274,0.511,0.346,0.416,0.360,0.475,0.394,0.467,0.148,0.535,0.243,0.513,0.387,0.445,0.158,0.404,0.217,0.450,0.411,0.337,0.000,0.611,0.269,0.085,0.508,0.196,0.289,0.452,0.484,0.229,0.533,0.391,0.279,0.528,0.597,0.415,0.377,0.000,0.000
